Year,City,Country,Countries,Participants,Men,Women,Sports,Events
1896,Athina,Greece,12,176,176,0,9,43
1900,Paris,France,31,1223,1200,23,20,95
1904,St. Louis,United States,15,650,644,6,18,95
1906,Athina,Greece,21,841,835,6,13,74
1908,London,Great Britain,22,2024,1980,44,24,109
1912,Stockholm,Sweden,29,2409,2356,53,17,107
1920,Antwerpen,Belgium,29,2674,2596,78,25,160
1924,Paris,France,45,3256,3104,152,20,130
1928,Amsterdam,Netherlands,46,3248,2937,311,17,120
1932,Los Angeles,United States,47,1921,1720,201,18,126
1936,Berlin,Germany,49,4484,4123,361,24,143
1948,London,Great Britain,59,4374,3933,440,21,149
1952,Helsinki,Finland,69,4932,4411,521,19,149
1956,Melbourne,Australia,67,3189,2818,371,18,145
1960,Roma,Italy,83,5350,4738,612,19,150
1964,Tokyo,Japan,93,5137,4457,680,21,163
1968,Ciudad de México,Mexico,112,5557,4774,783,20,172
1972,München,West Germany,121,7113,6052,1060,23,195
1976,Montréal,Canada,92,6073,4812,1260,23,198
1980,Moskva,Soviet Union,80,5259,4135,1123,23,203
1984,Los Angeles,United States,140,6799,5224,1567,26,221
1988,Seoul,South Korea,159,8453,6249,2202,27,237
1992,Barcelona,Spain,169,9386,6659,2721,29,257
1996,Atlanta,United States,197,10341,6818,3520,31,271
2000,Sydney,Australia,200,10648,6579,4068,34,300
2004,Athina,Greece,201,10561,6257,4304,34,301
2008,Beijing,China,204,10901,6290,4611,34,303
2012,London,Great Britain,205,10519,5864,4655,32,302